ABIA50     2585 17.96 P0038      
AGIP100    3088 634.89 P0038      
ALUL250      33 144.51 P0038      
ANTSC5     2628 132.00 P0038      
ABIA75     2340 233.59 P0015      
ABIT25      742 967.36 P0015      
CALA100     185 19.68 P0015      
CLOT2       638 946.64 P0015      
ACAS120    1297 818.79 P0007      
ALPCR100   3883 14.00 P0007      
ANTSD10    2629 17.80 P0007      
AUGT500    3815 186.35 P0007      
CELT0.5    4218 633.63 P0007      
CORT200      63 390.18 P0007      
ACTHA10    2301 47.80 P0004      
AGIP250    3779 16.50 P0004      
BERG10     3523 91.00 P0004      
BROJ       4086 16.00 P0004      
CIPA100    3359 30.76 P0004      
ADOL40     2973 534.87 P0001      
AMIA500      42 57.30 P0001      
BARC100      89 837.72 P0001      
BAYA2      1973 83.33 P0001      
BIOPS350   3462 18.70 P0001      
CCNC10      180 718.08 P0001      
CHOA5000    618 16.11 P0001      
CITPKG     3133 554.97 P0001      
CKMPS      3900 341.30 P0001      
CKTGS      3684 324.70 P0001      
CORK       3136 330.43 P0001      
CREC8      3823 165.91 P0001      
AHIT2       598 965.77 P0002      
ALSO4      3957 17.00 P0002      
CHYTCO      394 517.82 P0002      
COLF25     3137 40.90 P0002      
CORT2.5    1975 780.80 P0002      
CRON13     1900 26.14 P0002      
ANAT25      634 744.72 P0003      
ANTSE5     2630 67.30 P0003      
BRID5      4002 500.83 P0003      
CKKHS      3903 373.10 P0003      
CLE10      3731 35.30 P0003      
ADEKG      2510 914.81 P0005      
AHIA10      601 994.58 P0005      
BEZLKG     3004 361.90 P0005      
CHLPKG     3108 74.10 P0005      
CIPA200    3142 61.52 P0005      
AETA0.5     453 796.26 P0006      
AKUN1      3773 813.40 P0006      
BEVTCO      361 408.63 P0006      
BEZT200    1979 80.18 P0006      
BOTPS      2814 651.14 P0006      
CKF8S      3676 324.70 P0006      
ACOP       4085 16.00 P0013      
AKUN2      3930 140.00 P0013      
ASPT500    2265 431.23 P0013      
BALA2       763 35.53 P0013      
BERA100    1653 594.90 P0013      
BOTW50     2672 490.75 P0013      
CASO30     2554 798.35 P0013      
CHRA10     3239 13.40 P0013      
COLT51      662 429.88 P0013      
ALCL70       23 18.80 P0008      
ALKT2      1115 782.66 P0008      
AMIA100      43 26.40 P0008      
AQUD10      359  4.41 P0008      
BECIN250   3309 65.70 P0008      
CEFA1       550 495.76 P0008      
AMV        4020 175.00 P0011      
AUGS250    3698 13.80 P0011      
BECNI200    128 382.53 P0011      
CARCO1.5    208 524.74 P0011      
CERA20      696 28.75 P0011      
CKKES      3661 357.00 P0011      
CANT200    2288 152.38 P0009      
